GEOID,NAME,Population,TotalHousingUnits,MedianRoomsWithinHousingUnits,MedianValueOwnerOccupiedUnits,MedianRentPaymentRenterOccupied
0400000US01,Alabama,4876250,2255026,5.7,142700,792
0400000US02,Alaska,737068,316901,4.7,270400,1244
0400000US04,Arizona,7050299,3003286,5.3,225500,1052
0400000US05,Arkansas,2999370,1370281,5.4,127800,745
0400000US06,California,39283497,14175976,5.1,505000,1503
0400000US08,Colorado,5610349,2386475,5.7,343300,1271
0400000US09,Connecticut,3575074,1516629,5.6,275400,1180
0400000US10,Delaware,957248,433195,6.2,251100,1130
0400000US11,District of Columbia,692683,315176,4.1,601500,1541
0400000US12,Florida,20901636,9448159,5.1,215300,1175
0400000US13,Georgia,10403847,4283477,5.9,176000,1006
0400000US15,Hawaii,1422094,542674,4.6,615300,1617
0400000US16,Idaho,1717750,723594,5.8,212300,853
0400000US17,Illinois,12770631,5360315,5.6,194500,1010
0400000US18,Indiana,6665703,2886548,5.8,141700,826
0400000US19,Iowa,3139508,1397087,5.9,147800,789
0400000US20,Kansas,2910652,1273297,5.9,151900,850
0400000US21,Kentucky,4449052,1983949,5.6,141000,763
0400000US22,Louisiana,4664362,2059918,5.4,163100,866
0400000US23,Maine,1335492,742788,5.4,190400,853
0400000US24,Maryland,6018848,2448422,6.2,314800,1392
0400000US25,Massachusetts,6850553,2897259,5.5,381600,1282
0400000US26,Michigan,9965265,4596198,5.8,154900,871
0400000US27,Minnesota,5563378,2438203,6,223900,977
0400000US28,Mississippi,2984418,1322808,5.5,119000,780
0400000US29,Missouri,6104910,2790397,5.6,157200,830
0400000US30,Montana,1050649,510180,5.5,230600,810
0400000US31,Nebraska,1914571,837476,6,155800,833
0400000US32,Nevada,2972382,1250893,5.2,267900,1107
0400000US33,New Hampshire,1348124,634726,5.6,261700,1111
0400000US34,New Jersey,8878503,3616614,5.7,335600,1334
0400000US35,New Mexico,2092454,937920,5.3,171400,844
0400000US36,New York,19572319,8322722,5,313700,1280
0400000US37,North Carolina,10264876,4627089,5.5,172500,907
0400000US38,North Dakota,756717,373063,5.6,193900,826
0400000US39,Ohio,11655397,5202304,5.9,145700,808
0400000US40,Oklahoma,3932870,1731632,5.4,136800,810
0400000US41,Oregon,4129803,1768901,5.4,312200,1110
0400000US42,Pennsylvania,12791530,5693314,6,180200,938
0400000US44,Rhode Island,1057231,468335,5.3,261900,1004
0400000US45,South Carolina,5020806,2286826,5.6,162300,894
0400000US46,South Dakota,870638,392215,5.8,167100,747
0400000US47,Tennessee,6709356,2963486,5.6,167200,869
0400000US48,Texas,28260856,10937026,5.4,172500,1045
0400000US49,Utah,3096848,1087112,6.4,279100,1037
0400000US50,Vermont,624313,334999,5.6,227700,985
0400000US51,Virginia,8454463,3514032,6,273100,1234
0400000US53,Washington,7404107,3106528,5.5,339000,1258
0400000US54,West Virginia,1817305,892182,5.7,119600,725
0400000US55,Wisconsin,5790716,2694527,5.6,180600,856
0400000US56,Wyoming,581024,276846,5.7,220500,855
0400000US72,Puerto Rico,3318447,1560836,4.8,111500,478
